Certificate of Inspection,Inspection Number,Date of Occurance,Business Unique ID,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0129108,INS-000655056,07/21/2023,BA-1109904-2022,86 FRIENDLY STAR INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,8521,7TH AVE,,,,BROOKLYN,NY,11228,Brooklyn,310,47,3153257,3060380001,BK30,40.6190289,-74.0209821
A0129108,INS-000655056,07/21/2023,BA-1109904-2022,86 FRIENDLY STAR INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,4,4,0,Complete Address,8521,7TH AVE,,,,BROOKLYN,NY,11228,Brooklyn,310,47,3153257,3060380001,BK30,40.6190289,-74.0209821
A0128960,INS-000654793,07/20/2023,BA-1421525-2022,RALPH AVE GAS AND STORE INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Complete Address,2317,RALPH AVE,,,,BROOKLYN,NY,11234,Brooklyn,318,46,3235940,3083640034,BK45,40.62143032,-73.91745182
A0128960,INS-000654793,07/20/2023,BA-1421525-2022,RALPH AVE GAS AND STORE INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,6,6,0,Complete Address,2317,RALPH AVE,,,,BROOKLYN,NY,11234,Brooklyn,318,46,3235940,3083640034,BK45,40.62143032,-73.91745182
A0128960,INS-000654793,07/20/2023,BA-1421525-2022,RALPH AVE GAS AND STORE INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,2,2,0,Complete Address,2317,RALPH AVE,,,,BROOKLYN,NY,11234,Brooklyn,318,46,3235940,3083640034,BK45,40.62143032,-73.91745182
A0128966,INS-000654803,07/20/2023,BA-1128537-2022,3801 BEACH CHANNEL GAS AND GROCERY INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,3,0,Complete Address,3801,BEACH CHANNEL DR,,,,FAR ROCKAWAY,NY,11691,Queens,414,31,4301762,4158280030,QN12,40.59597924,-73.77078507
A0128966,INS-000654803,07/20/2023,BA-1128537-2022,3801 BEACH CHANNEL GAS AND GROCERY INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,6,6,0,Complete Address,3801,BEACH CHANNEL DR,,,,FAR ROCKAWAY,NY,11691,Queens,414,31,4301762,4158280030,QN12,40.59597924,-73.77078507
A0128524,INS-000654069,07/18/2023,BA-1464198-2022,MANSION MARINA LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,112,MANSION AVE,,,,STATEN ISLAND,NY,10308,Staten Island,503,51,5066126,5052020010,,40.54503073,-74.13997649
A0128524,INS-000654069,07/18/2023,BA-1464198-2022,MANSION MARINA LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,1,1,0,Complete Address,112,MANSION AVE,,,,STATEN ISLAND,NY,10308,Staten Island,503,51,5066126,5052020010,,40.54503073,-74.13997649
A0128524,INS-000654069,07/18/2023,BA-1464198-2022,MANSION MARINA LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Single,2,2,0,Complete Address,112,MANSION AVE,,,,STATEN ISLAND,NY,10308,Staten Island,503,51,5066126,5052020010,,40.54503073,-74.13997649
A0128541,INS-000654100,07/18/2023,BA-1540973-2022,TRIANGLE AUTO SERVICE INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,12901,GUY R BREWER BLVD,,,,JAMAICA,NY,11434,Queens,412,28,4436356,4124950002,QN02,40.67716352,-73.77852767
A0128541,INS-000654100,07/18/2023,BA-1540973-2022,TRIANGLE AUTO SERVICE INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,4,4,0,Complete Address,12901,GUY R BREWER BLVD,,,,JAMAICA,NY,11434,Queens,412,28,4436356,4124950002,QN02,40.67716352,-73.77852767
A0128572,INS-000654146,07/18/2023,BA-1450869-2022,PEGASUS GAS & REPAIR INC.,CITGO,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,No Fee Gas Pump,9,9,0,Complete Address,3981,HYLAN BLVD,,,,STATEN ISLAND,NY,10308,Staten Island,503,51,5107670,5051580037,SI54,40.54266589,-74.14564193
A0128576,INS-000654153,07/18/2023,BA-1331433-2022,LINDEN BLVD. SERVICE STATION CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,2,2,0,Complete Address,11321,MERRICK BLVD,,,,JAMAICA,NY,11433,Queens,412,27,4219351,4102870001,QN08,40.69191838,-73.77939459
A0128599,INS-000654184,07/18/2023,BA-1422636-2022,MERCY GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Complete Address,4220,BRONX BLVD,,,,BRONX,NY,10466,Bronx,212,11,2068022,2049930015,BX44,40.89521347,-73.86084143
A0128599,INS-000654184,07/18/2023,BA-1422636-2022,MERCY GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,4,4,0,Complete Address,4220,BRONX BLVD,,,,BRONX,NY,10466,Bronx,212,11,2068022,2049930015,BX44,40.89521347,-73.86084143
A0128450,INS-000653921,07/14/2023,BA-1120649-2022,ABBY MART LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,688,E GUN HILL RD,,,,BRONX,NY,10467,Bronx,212,12,2117671,2046280025,BX44,40.87763599,-73.86741973
A0128450,INS-000653921,07/14/2023,BA-1120649-2022,ABBY MART LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,12,12,0,Complete Address,688,E GUN HILL RD,,,,BRONX,NY,10467,Bronx,212,12,2117671,2046280025,BX44,40.87763599,-73.86741973
A0128399,INS-000653849,07/14/2023,BA-1101655-2022,1981 fuel stop inc,ALLEGIANCE,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Complete Address,1981,OCEAN AVE,,,,BROOKLYN,NY,11230,Brooklyn,314,48,3210659,3076740001,BK43,40.6139438,-73.95415625
A0128399,INS-000653849,07/14/2023,BA-1101655-2022,1981 fuel stop inc,ALLEGIANCE,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,4,4,0,Complete Address,1981,OCEAN AVE,,,,BROOKLYN,NY,11230,Brooklyn,314,48,3210659,3076740001,BK43,40.6139438,-73.95415625
A0128399,INS-000653849,07/14/2023,BA-1101655-2022,1981 fuel stop inc,ALLEGIANCE,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,2,2,0,Complete Address,1981,OCEAN AVE,,,,BROOKLYN,NY,11230,Brooklyn,314,48,3210659,3076740001,BK43,40.6139438,-73.95415625
A0127930,INS-000653097,07/12/2023,BA-1126201-2022,"1657 JEROME AVE. SERVICE STATION, INC.",SUNOCO,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,2,2,0,Complete Address,1657,JEROME AVE,,,,BRONX,NY,10453,Bronx,205,14,2008340,2028610001,BX36,40.84569322,-73.91379411
A0128344,INS-000653778,07/14/2023,BA-1564981-2022,STEINWAY GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,2001,31ST ST,,,,ASTORIA,NY,11105,Queens,401,22,4016808,4008290007,QN72,40.77967683,-73.90635112
A0128344,INS-000653778,07/14/2023,BA-1564981-2022,STEINWAY GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,4,4,0,Complete Address,2001,31ST ST,,,,ASTORIA,NY,11105,Queens,401,22,4016808,4008290007,QN72,40.77967683,-73.90635112
A0128344,INS-000653778,07/14/2023,BA-1564981-2022,STEINWAY GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,2,2,0,Complete Address,2001,31ST ST,,,,ASTORIA,NY,11105,Queens,401,22,4016808,4008290007,QN72,40.77967683,-73.90635112
A0128029,INS-000653254,07/12/2023,BA-1556573-2022,VALLEY SHELL LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Complete Address,4707,ARTHUR KILL ROAD,,,,STATEN ISLAND,NY,10309,Staten Island,503,51,5087233,5076140020,SI11,40.52789805,-74.23937012
A0128029,INS-000653254,07/12/2023,BA-1556573-2022,VALLEY SHELL LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,10,10,0,Complete Address,4707,ARTHUR KILL ROAD,,,,STATEN ISLAND,NY,10309,Staten Island,503,51,5087233,5076140020,SI11,40.52789805,-74.23937012
A0128029,INS-000653254,07/12/2023,BA-1556573-2022,VALLEY SHELL LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,10,10,0,Complete Address,4707,ARTHUR KILL ROAD,,,,STATEN ISLAND,NY,10309,Staten Island,503,51,5087233,5076140020,SI11,40.52789805,-74.23937012
A0127826,INS-000652916,07/11/2023,BA-1660033-2023,ARTHUR KILL FUELS LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Complete Address,1781,ARTHUR KILL RD,,,,STATEN ISLAND,NY,10312,Staten Island,503,51,5079807,5061690016,SI05,40.55863654,-74.19796772
A0127826,INS-000652916,07/11/2023,BA-1660033-2023,ARTHUR KILL FUELS LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,1,1,0,Complete Address,1781,ARTHUR KILL RD,,,,STATEN ISLAND,NY,10312,Staten Island,503,51,5079807,5061690016,SI05,40.55863654,-74.19796772
A0127816,INS-000652895,07/11/2023,BA-1265738-2022,CERTIFIED HEATING OILS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Complete Address,180,W SERVICE RD,,,,STATEN ISLAND,NY,10314,Staten Island,502,50,5156853,5026540001,SI05,40.58803257,-74.19366235
A0127816,INS-000652895,07/11/2023,BA-1265738-2022,CERTIFIED HEATING OILS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,13,13,0,Complete Address,180,W SERVICE RD,,,,STATEN ISLAND,NY,10314,Staten Island,502,50,5156853,5026540001,SI05,40.58803257,-74.19366235
A0127816,INS-000652895,07/11/2023,BA-1265738-2022,CERTIFIED HEATING OILS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,4,4,0,Complete Address,180,W SERVICE RD,,,,STATEN ISLAND,NY,10314,Staten Island,502,50,5156853,5026540001,SI05,40.58803257,-74.19366235
A0127776,INS-000652826,07/11/2023,BA-1558535-2022,"STATEN ISLAND YACHT SALES, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,222,MANSION AVE,,,,STATEN ISLAND,NY,10308,Staten Island,503,51,5066182,5052070007,SI54,40.54293102,-74.14214527
A0127776,INS-000652826,07/11/2023,BA-1558535-2022,"STATEN ISLAND YACHT SALES, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,4,4,0,Complete Address,222,MANSION AVE,,,,STATEN ISLAND,NY,10308,Staten Island,503,51,5066182,5052070007,SI54,40.54293102,-74.14214527
A0127776,INS-000652826,07/11/2023,BA-1558535-2022,"STATEN ISLAND YACHT SALES, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Single,4,4,0,Complete Address,222,MANSION AVE,,,,STATEN ISLAND,NY,10308,Staten Island,503,51,5066182,5052070007,SI54,40.54293102,-74.14214527
A0127726,INS-000652745,07/11/2023,BA-1102447-2022,BKS FUEL CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,1,1,0,Complete Address,9403,CORONA AVE,,,,ELMHURST,NY,11373,Queens,404,25,4040134,4016040001,QN29,40.74231801,-73.86956916
A0127726,INS-000652745,07/11/2023,BA-1102447-2022,BKS FUEL CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Single,1,1,0,Complete Address,9403,CORONA AVE,,,,ELMHURST,NY,11373,Queens,404,25,4040134,4016040001,QN29,40.74231801,-73.86956916
A0127650,INS-000652610,07/10/2023,BA-1319220-2022,KARAM SERVICE STATION INC.,CITGO,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,600,PELHAM PKWY S,,,,BRONX,NY,10462,Bronx,211,13,2049373,2043170033,BX49,40.85660252,-73.86908838
A0127650,INS-000652610,07/10/2023,BA-1319220-2022,KARAM SERVICE STATION INC.,CITGO,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,4,4,0,Complete Address,600,PELHAM PKWY S,,,,BRONX,NY,10462,Bronx,211,13,2049373,2043170033,BX49,40.85660252,-73.86908838
A0127593,INS-000652539,07/10/2023,BA-1507112-2022,STADIUM GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,4,3,1,Complete Address,11244,ROOSEVELT AVE,,,,CORONA,NY,11368,Queens,404,21,4049906,4020130037,QN25,40.75205718,-73.85420346
A0127593,INS-000652539,07/10/2023,BA-1507112-2022,STADIUM GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,6,6,0,Complete Address,11244,ROOSEVELT AVE,,,,CORONA,NY,11368,Queens,404,21,4049906,4020130037,QN25,40.75205718,-73.85420346
A0127593,INS-000652539,07/10/2023,BA-1507112-2022,STADIUM GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,2,2,0,Complete Address,11244,ROOSEVELT AVE,,,,CORONA,NY,11368,Queens,404,21,4049906,4020130037,QN25,40.75205718,-73.85420346
A0127407,INS-000652270,07/07/2023,BA-1668711-2023,NAGLE FUEL CORP.,BP,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Complete Address,265,NAGLE AVE,,,,NEW YORK,NY,10034,Manhattan,112,10,1064706,1022160058,MN01,40.86314612,-73.92051402
A0127407,INS-000652270,07/07/2023,BA-1668711-2023,NAGLE FUEL CORP.,BP,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,8,8,0,Complete Address,265,NAGLE AVE,,,,NEW YORK,NY,10034,Manhattan,112,10,1064706,1022160058,MN01,40.86314612,-73.92051402
A0127407,INS-000652270,07/07/2023,BA-1668711-2023,NAGLE FUEL CORP.,BP,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,4,4,0,Complete Address,265,NAGLE AVE,,,,NEW YORK,NY,10034,Manhattan,112,10,1064706,1022160058,MN01,40.86314612,-73.92051402
A0127359,INS-000652207,07/07/2023,BA-1294520-2022,HORACE GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Complete Address,11035,HORACE HARDING EXPY,,,,CORONA,NY,11368,Queens,404,21,4048472,4019700039,QN25,40.73854932,-73.84921714
A0127359,INS-000652207,07/07/2023,BA-1294520-2022,HORACE GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,4,4,0,Complete Address,11035,HORACE HARDING EXPY,,,,CORONA,NY,11368,Queens,404,21,4048472,4019700039,QN25,40.73854932,-73.84921714
A0127359,INS-000652207,07/07/2023,BA-1294520-2022,HORACE GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,2,2,0,Complete Address,11035,HORACE HARDING EXPY,,,,CORONA,NY,11368,Queens,404,21,4048472,4019700039,QN25,40.73854932,-73.84921714
A0127202,INS-000651949,07/06/2023,BA-1292089-2022,"GRAND SLAM ENT NY, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,640,CONDUIT BOULEVARD,,,,BROOKLYN,NY,11208,Brooklyn,305,42,3095219,3042390001,BK82,40.67568205,-73.86606911
A0127202,INS-000651949,07/06/2023,BA-1292089-2022,"GRAND SLAM ENT NY, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,8,8,0,Complete Address,640,CONDUIT BOULEVARD,,,,BROOKLYN,NY,11208,Brooklyn,305,42,3095219,3042390001,BK82,40.67568205,-73.86606911
A0127202,INS-000651949,07/06/2023,BA-1292089-2022,"GRAND SLAM ENT NY, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Single,8,8,0,Complete Address,640,CONDUIT BOULEVARD,,,,BROOKLYN,NY,11208,Brooklyn,305,42,3095219,3042390001,BK82,40.67568205,-73.86606911
A0127227,INS-000651992,07/06/2023,BA-1460294-2022,PARKVIEW SERVICE CENTER INC,MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,No Fee Gas Pump,2,2,0,Complete Address,6161,BROADWAY,,,,BRONX,NY,10471,Bronx,208,11,2084348,2058141182,BX22,40.89499031,-73.89661437
A0201660,INS-000809227,12/03/2024,BA-1259033-2022,ELIOT AUTO SERVICE INC.,,Gas Station-Retail - 815,WAM - Other,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,6905,ELIOT AVE,,,,MIDDLE VLG,NY,11379,Queens,405,30,4063960,4028380038,QN21,40.71959165,-73.89090159
A0201660,INS-000809227,12/03/2024,BA-1259033-2022,ELIOT AUTO SERVICE INC.,,Gas Station-Retail - 815,WAM - Other,Gas Station,Gas Pumps,Petrol Pump Blend,6,6,0,Complete Address,6905,ELIOT AVE,,,,MIDDLE VLG,NY,11379,Queens,405,30,4063960,4028380038,QN21,40.71959165,-73.89090159
A0201660,INS-000809227,12/03/2024,BA-1259033-2022,ELIOT AUTO SERVICE INC.,,Gas Station-Retail - 815,WAM - Other,Gas Station,Gas Pumps,Petrol Pump Diesel,2,2,0,Complete Address,6905,ELIOT AVE,,,,MIDDLE VLG,NY,11379,Queens,405,30,4063960,4028380038,QN21,40.71959165,-73.89090159
A0126981,INS-000651571,07/05/2023,BA-1318452-2022,JARNAIL PETROLEUM INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,1924,FLATBUSH AVE,,,,BROOKLYN,NY,11210,Brooklyn,318,45,3217120,3078150001,BK58,40.62278492,-73.93705376
A0126981,INS-000651571,07/05/2023,BA-1318452-2022,JARNAIL PETROLEUM INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,6,6,0,Complete Address,1924,FLATBUSH AVE,,,,BROOKLYN,NY,11210,Brooklyn,318,45,3217120,3078150001,BK58,40.62278492,-73.93705376
A0126981,INS-000651571,07/05/2023,BA-1318452-2022,JARNAIL PETROLEUM INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,2,2,0,Complete Address,1924,FLATBUSH AVE,,,,BROOKLYN,NY,11210,Brooklyn,318,45,3217120,3078150001,BK58,40.62278492,-73.93705376
A0126981,INS-000651571,07/05/2023,BA-1318452-2022,JARNAIL PETROLEUM INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Single,2,2,0,Complete Address,1924,FLATBUSH AVE,,,,BROOKLYN,NY,11210,Brooklyn,318,45,3217120,3078150001,BK58,40.62278492,-73.93705376
A0126993,INS-000651588,07/05/2023,BA-1547535-2022,WILLIAMSBURG SERVICE CENTER INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,713,KENT AVE,,,,BROOKLYN,NY,11249,Brooklyn,301,33,3060705,3022160006,BK72,40.69984718,-73.96156973
A0126993,INS-000651588,07/05/2023,BA-1547535-2022,WILLIAMSBURG SERVICE CENTER INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,4,4,0,Complete Address,713,KENT AVE,,,,BROOKLYN,NY,11249,Brooklyn,301,33,3060705,3022160006,BK72,40.69984718,-73.96156973
A0126993,INS-000651588,07/05/2023,BA-1547535-2022,WILLIAMSBURG SERVICE CENTER INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,2,2,0,Complete Address,713,KENT AVE,,,,BROOKLYN,NY,11249,Brooklyn,301,33,3060705,3022160006,BK72,40.69984718,-73.96156973
A0126801,INS-000651322,07/03/2023,BA-1118791-2022,292 FUEL STOP INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,292,NEPTUNE AVE,,,,BROOKLYN,NY,11235,Brooklyn,313,48,3244404,3086640420,BK19,40.581114,-73.96388448
A0126801,INS-000651322,07/03/2023,BA-1118791-2022,292 FUEL STOP INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,4,4,0,Complete Address,292,NEPTUNE AVE,,,,BROOKLYN,NY,11235,Brooklyn,313,48,3244404,3086640420,BK19,40.581114,-73.96388448
A0126806,INS-000651328,07/03/2023,BA-1431425-2022,NEPTUNE FUEL STOP INC,Allegiance,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,4,0,4,Complete Address,2001,NEPTUNE AVE,,,,BROOKLYN,NY,11224,Brooklyn,313,47,3188421,3069920041,BK21,40.57868984,-73.98750114
A0126806,INS-000651328,07/03/2023,BA-1431425-2022,NEPTUNE FUEL STOP INC,Allegiance,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,8,8,0,Complete Address,2001,NEPTUNE AVE,,,,BROOKLYN,NY,11224,Brooklyn,313,47,3188421,3069920041,BK21,40.57868984,-73.98750114
A0126806,INS-000651328,07/03/2023,BA-1431425-2022,NEPTUNE FUEL STOP INC,Allegiance,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,5,5,0,Complete Address,2001,NEPTUNE AVE,,,,BROOKLYN,NY,11224,Brooklyn,313,47,3188421,3069920041,BK21,40.57868984,-73.98750114
A0126806,INS-000651328,07/03/2023,BA-1431425-2022,NEPTUNE FUEL STOP INC,Allegiance,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Single,1,1,0,Complete Address,2001,NEPTUNE AVE,,,,BROOKLYN,NY,11224,Brooklyn,313,47,3188421,3069920041,BK21,40.57868984,-73.98750114
A0202491,INS-000810669,12/05/2024,BA-1532261-2022,SPEEDWAY LLC,SPEEDWAY #7824,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,285,E 233RD ST,,,,BRONX,NY,10470,Bronx,212,11,2110178,2033740042,BX62,40.89623998,-73.86784199
A0202491,INS-000810669,12/05/2024,BA-1532261-2022,SPEEDWAY LLC,SPEEDWAY #7824,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,8,8,0,Complete Address,285,E 233RD ST,,,,BRONX,NY,10470,Bronx,212,11,2110178,2033740042,BX62,40.89623998,-73.86784199
A0202323,INS-000810402,12/05/2024,BA-1113189-2022,3210 WEBSTER AVE CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,4,4,0,Complete Address,3210,WEBSTER AVE,,,,BRONX,NY,10467,Bronx,207,11,2018680,2033570066,BX43,40.87311549,-73.87480145
A0202323,INS-000810402,12/05/2024,BA-1113189-2022,3210 WEBSTER AVE CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,2,2,0,Complete Address,3210,WEBSTER AVE,,,,BRONX,NY,10467,Bronx,207,11,2018680,2033570066,BX43,40.87311549,-73.87480145
A0201751,INS-000809228,12/03/2024,BA-1658857-2023,MUKTI 66 PETROLEUM INC,,Gas Station-Retail - 815,WAM - Other,Gas Station,Gas Pumps,Petrol Pump Single,1,1,0,Complete Address,6615,BORDEN AVE,,,,MASPETH,NY,11378,Queens,405,30,4055332,4023940008,QN30,40.72598804,-73.89809602
A0201766,INS-000809459,12/03/2024,BA-1584624-2023,590 FORDHAM ROAD INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Complete Address,590,E FORDHAM RD,,,,BRONX,NY,10458,Bronx,206,15,2011947,2030670054,BX06,40.85856316,-73.88542818
A0201766,INS-000809459,12/03/2024,BA-1584624-2023,590 FORDHAM ROAD INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,6,6,0,Complete Address,590,E FORDHAM RD,,,,BRONX,NY,10458,Bronx,206,15,2011947,2030670054,BX06,40.85856316,-73.88542818
A0201766,INS-000809459,12/03/2024,BA-1584624-2023,590 FORDHAM ROAD INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,4,4,0,Complete Address,590,E FORDHAM RD,,,,BRONX,NY,10458,Bronx,206,15,2011947,2030670054,BX06,40.85856316,-73.88542818
A0202190,INS-000810201,12/04/2024,BA-1324629-2022,J & C GAS & AUTO REPAIR INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Complete Address,1198,E TREMONT AVE,,,,BRONX,NY,10460,Bronx,206,15,2028397,2039090024,BX75,40.83980752,-73.87389919
A0202190,INS-000810201,12/04/2024,BA-1324629-2022,J & C GAS & AUTO REPAIR INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,8,8,0,Complete Address,1198,E TREMONT AVE,,,,BRONX,NY,10460,Bronx,206,15,2028397,2039090024,BX75,40.83980752,-73.87389919
A0201895,INS-000809666,12/03/2024,BA-1599498-2023,444 FUEL INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,No Fee Gas Pump,12,12,0,Complete Address,444,SOUNDVIEW AVE,,,,BRONX,NY,10473,Bronx,209,18,2098604,2034980051,BX09,40.81443437,-73.85883913
A0201895,INS-000809666,12/03/2024,BA-1599498-2023,444 FUEL INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Complete Address,444,SOUNDVIEW AVE,,,,BRONX,NY,10473,Bronx,209,18,2098604,2034980051,BX09,40.81443437,-73.85883913
